"term1","term2","cooc"
"reciprocity","altruism",33
"reputation","altruism",12
"resource dilemma","altruism",15
"reward","altruism",22
"risk","altruism",5
"rule","altruism",16
"sequentiality","altruism",6
"social value orientation","altruism",37
"socio-economic status","altruism",7
"strategy","altruism",71
"structure","altruism",17
"threat","altruism",22
"time pressure","altruism",13
"trust","altruism",21
"uncertainty","altruism",6
"central nervous system","anonymity",4
"charitable","anonymity",2
"chicken game","anonymity",4
"cognition","anonymity",7
"commitment","anonymity",7
"communication","anonymity",10
"competitive","anonymity",19
"compliance","anonymity",0
"conflict","anonymity",9
"cooperation","anonymity",78
"coordination","anonymity",5
"culture","anonymity",11
"dyad","anonymity",2
"efficiency","anonymity",19
"emotion","anonymity",10
"emotion valence","anonymity",7
"endowment","anonymity",1
"environmental","anonymity",7
"equality","anonymity",2
"equilibrium","anonymity",7
"evolution","anonymity",10
"expectations","anonymity",14
"experience","anonymity",5
"fairness","anonymity",13
"favoritism","anonymity",1
"feedback","anonymity",2
"framing","anonymity",6
"game duration","anonymity",8
"gender","anonymity",13
"goal","anonymity",8
"group","anonymity",46
"group identification","anonymity",8
"guilt","anonymity",3
"harvest","anonymity",7
"heterogeneous","anonymity",9
"incentives","anonymity",60
"individual differences","anonymity",8
"information","anonymity",11
"interdependence","anonymity",2
"intergroup","anonymity",6
"intuition","anonymity",3
"knowledge","anonymity",4
"leadership","anonymity",3
"learning","anonymity",5
"moral","anonymity",1
"motivation","anonymity",16
"norm","anonymity",8
"partner type","anonymity",3
"perception","anonymity",6
"perspective","anonymity",5
"power","anonymity",10
"preference","anonymity",10
"prisoner's dilemma","anonymity",19
"promise","anonymity",2
"psychopathology","anonymity",0
"public goods dilemma","anonymity",14
"punishment","anonymity",22
"reciprocity","anonymity",11
"reputation","anonymity",9
"resource dilemma","anonymity",5
"reward","anonymity",9
"risk","anonymity",2
"rule","anonymity",8
"sequentiality","anonymity",5
"social value orientation","anonymity",9
"socio-economic status","anonymity",1
"strategy","anonymity",33
"structure","anonymity",9
"threat","anonymity",10
"time pressure","anonymity",3
"trust","anonymity",12
"uncertainty","anonymity",5
"charitable","central nervous system",3
"chicken game","central nervous system",5
"cognition","central nervous system",29
"commitment","central nervous system",3
"communication","central nervous system",5
"competitive","central nervous system",8
"compliance","central nervous system",3
"conflict","central nervous system",8
"cooperation","central nervous system",60
"coordination","central nervous system",4
"culture","central nervous system",16
"dyad","central nervous system",3
"efficiency","central nervous system",10
"emotion","central nervous system",15
"emotion valence","central nervous system",9
"endowment","central nervous system",0
"environmental","central nervous system",5
"equality","central nervous system",1
"equilibrium","central nervous system",4
"evolution","central nervous system",7
"expectations","central nervous system",4
"experience","central nervous system",3
"fairness","central nervous system",11
"favoritism","central nervous system",2
"feedback","central nervous system",4
"framing","central nervous system",4
"game duration","central nervous system",9
"gender","central nervous system",19
"goal","central nervous system",13
"group","central nervous system",28
"group identification","central nervous system",5
"guilt","central nervous system",6
"harvest","central nervous system",6
"heterogeneous","central nervous system",7
"incentives","central nervous system",37
"individual differences","central nervous system",11
"information","central nervous system",12
"interdependence","central nervous system",0
"intergroup","central nervous system",3
"intuition","central nervous system",11
"knowledge","central nervous system",13
"leadership","central nervous system",9
"learning","central nervous system",5
"moral","central nervous system",7
"motivation","central nervous system",22
"norm","central nervous system",14
"partner type","central nervous system",17
"perception","central nervous system",3
"perspective","central nervous system",6
"power","central nervous system",2
"preference","central nervous system",6
"prisoner's dilemma","central nervous system",25
"promise","central nervous system",2
"psychopathology","central nervous system",9
"public goods dilemma","central nervous system",7
"punishment","central nervous system",19
"reciprocity","central nervous system",6
"reputation","central nervous system",2
"resource dilemma","central nervous system",5
"reward","central nervous system",13
"risk","central nervous system",4
"rule","central nervous system",8
"sequentiality","central nervous system",2
"social value orientation","central nervous system",12
"socio-economic status","central nervous system",2
"strategy","central nervous system",23
"structure","central nervous system",10
"threat","central nervous system",13
"time pressure","central nervous system",5
"trust","central nervous system",10
"uncertainty","central nervous system",2
"chicken game","charitable",2
"cognition","charitable",1
"commitment","charitable",7
"communication","charitable",7
"competitive","charitable",14
"compliance","charitable",5
"conflict","charitable",11
"cooperation","charitable",70
"coordination","charitable",3
"culture","charitable",17
"dyad","charitable",5
"efficiency","charitable",12
"emotion","charitable",6
"emotion valence","charitable",3
"endowment","charitable",5
"environmental","charitable",6
"equality","charitable",7
"equilibrium","charitable",4
"evolution","charitable",3
"expectations","charitable",7
"experience","charitable",2
"fairness","charitable",6
"favoritism","charitable",4
"feedback","charitable",3
"framing","charitable",8
"game duration","charitable",8
"gender","charitable",15
"goal","charitable",4
"group","charitable",36
"group identification","charitable",5
"guilt","charitable",5
"harvest","charitable",10
"heterogeneous","charitable",9
"incentives","charitable",47
"individual differences","charitable",4
"information","charitable",12
"interdependence","charitable",4
"intergroup","charitable",0
"intuition","charitable",1
"knowledge","charitable",5
"leadership","charitable",7
"learning","charitable",1
"moral","charitable",5
"motivation","charitable",13
"norm","charitable",10
"partner type","charitable",3
"perception","charitable",4
"perspective","charitable",7
"power","charitable",5
"preference","charitable",7
"prisoner's dilemma","charitable",9
"promise","charitable",2
"psychopathology","charitable",1
"public goods dilemma","charitable",19
"punishment","charitable",35
"reciprocity","charitable",10
"reputation","charitable",3
"resource dilemma","charitable",2
"reward","charitable",7
"risk","charitable",3
"rule","charitable",5
"sequentiality","charitable",4
"social value orientation","charitable",11
"socio-economic status","charitable",3
"strategy","charitable",19
"structure","charitable",4
"threat","charitable",10
"time pressure","charitable",1
"trust","charitable",9
"uncertainty","charitable",1
"cognition","chicken game",7
"commitment","chicken game",1
"communication","chicken game",4
"competitive","chicken game",15
"compliance","chicken game",2
"conflict","chicken game",6
"cooperation","chicken game",49
"coordination","chicken game",3
"culture","chicken game",9
"dyad","chicken game",2
"efficiency","chicken game",9
"emotion","chicken game",2
"emotion valence","chicken game",5
"endowment","chicken game",1
"environmental","chicken game",7
"equality","chicken game",3
"equilibrium","chicken game",4
"evolution","chicken game",1
"expectations","chicken game",3
"experience","chicken game",7
"fairness","chicken game",5
"favoritism","chicken game",2
"feedback","chicken game",3
"framing","chicken game",10
"game duration","chicken game",11
"gender","chicken game",3
"goal","chicken game",3
"group","chicken game",26
"group identification","chicken game",5
"guilt","chicken game",3
"harvest","chicken game",10
"heterogeneous","chicken game",8
"incentives","chicken game",39
"individual differences","chicken game",5
"information","chicken game",7
"interdependence","chicken game",2
"intergroup","chicken game",3
"intuition","chicken game",2
"knowledge","chicken game",2
"leadership","chicken game",5
"learning","chicken game",6
"moral","chicken game",0
"motivation","chicken game",16
"norm","chicken game",6
"partner type","chicken game",9
"perception","chicken game",4
"perspective","chicken game",1
"power","chicken game",7
"preference","chicken game",2
"prisoner's dilemma","chicken game",19
"promise","chicken game",0
"psychopathology","chicken game",1
"public goods dilemma","chicken game",10
"punishment","chicken game",13
"reciprocity","chicken game",8
"reputation","chicken game",1
"resource dilemma","chicken game",7
"reward","chicken game",7
"risk","chicken game",4
"rule","chicken game",6
"sequentiality","chicken game",4
"social value orientation","chicken game",7
"socio-economic status","chicken game",1
"strategy","chicken game",31
"structure","chicken game",8
"threat","chicken game",12
"time pressure","chicken game",0
"trust","chicken game",9
"uncertainty","chicken game",3
"commitment","cognition",5
"communication","cognition",11
"competitive","cognition",31
"compliance","cognition",4
"conflict","cognition",12
"cooperation","cognition",102
"coordination","cognition",5
"culture","cognition",22
"dyad","cognition",4
"efficiency","cognition",23
"emotion","cognition",25
"emotion valence","cognition",12
"endowment","cognition",1
"environmental","cognition",5
"equality","cognition",4
"equilibrium","cognition",4
"evolution","cognition",10
"expectations","cognition",16
"experience","cognition",6
"fairness","cognition",13
"favoritism","cognition",4
"feedback","cognition",3
"framing","cognition",13
"game duration","cognition",12
"gender","cognition",21
"goal","cognition",9
"group","cognition",57
"group identification","cognition",8
"guilt","cognition",4
"harvest","cognition",10
"heterogeneous","cognition",14
"incentives","cognition",68
"individual differences","cognition",16
"information","cognition",25
"interdependence","cognition",1
"intergroup","cognition",10
"intuition","cognition",22
"knowledge","cognition",9
"leadership","cognition",12
"learning","cognition",5
"moral","cognition",11
"motivation","cognition",32
"norm","cognition",9
"partner type","cognition",18
"perception","cognition",6
"perspective","cognition",8
"power","cognition",9
"preference","cognition",11
"prisoner's dilemma","cognition",34
"promise","cognition",1
"psychopathology","cognition",10
"public goods dilemma","cognition",9
"punishment","cognition",28
"reciprocity","cognition",15
"reputation","cognition",2
"resource dilemma","cognition",8
"reward","cognition",12
"risk","cognition",5
"rule","cognition",11
"sequentiality","cognition",10
"social value orientation","cognition",12
"socio-economic status","cognition",2
"strategy","cognition",45
"structure","cognition",21
"threat","cognition",19
"time pressure","cognition",12
"trust","cognition",15
"uncertainty","cognition",2
"communication","commitment",27
"competitive","commitment",23
"compliance","commitment",9
"conflict","commitment",12
"cooperation","commitment",91
"coordination","commitment",5
"culture","commitment",18
"dyad","commitment",6
"efficiency","commitment",16
"emotion","commitment",9
"emotion valence","commitment",9
"endowment","commitment",3
"environmental","commitment",5
"equality","commitment",6
"equilibrium","commitment",7
"evolution","commitment",4
"expectations","commitment",11
"experience","commitment",3
"fairness","commitment",7
"favoritism","commitment",7
"feedback","commitment",4
"framing","commitment",7
"game duration","commitment",15
"gender","commitment",24
"goal","commitment",9
"group","commitment",60
"group identification","commitment",6
"guilt","commitment",1
"harvest","commitment",10
"heterogeneous","commitment",2
"incentives","commitment",55
"individual differences","commitment",5
"information","commitment",22
"interdependence","commitment",6
"intergroup","commitment",5
"intuition","commitment",1
"knowledge","commitment",4
"leadership","commitment",13
"learning","commitment",2
"moral","commitment",2
"motivation","commitment",15
"norm","commitment",15
"partner type","commitment",7
"perception","commitment",5
"perspective","commitment",7
"power","commitment",12
"preference","commitment",4
"prisoner's dilemma","commitment",17
"promise","commitment",12
"psychopathology","commitment",3
"public goods dilemma","commitment",23
"punishment","commitment",37
"reciprocity","commitment",9
"reputation","commitment",3
"resource dilemma","commitment",8
"reward","commitment",6
"risk","commitment",1
"rule","commitment",8
"sequentiality","commitment",8
"social value orientation","commitment",7
"socio-economic status","commitment",1
"strategy","commitment",36
"structure","commitment",4
"threat","commitment",18
"time pressure","commitment",3
"trust","commitment",10
"uncertainty","commitment",5
"competitive","communication",29
"compliance","communication",5
"conflict","communication",21
"cooperation","communication",148
"coordination","communication",11
"culture","communication",44
"dyad","communication",16
"efficiency","communication",27
"emotion","communication",15
"emotion valence","communication",11
"endowment","communication",11
"environmental","communication",13
"equality","communication",10
"equilibrium","communication",5
"evolution","communication",6
"expectations","communication",13
"experience","communication",13
"fairness","communication",7
"favoritism","communication",6
"feedback","communication",11
"framing","communication",16
"game duration","communication",22
"gender","communication",24
"goal","communication",12
"group","communication",85
"group identification","communication",9
"guilt","communication",2
"harvest","communication",12
"heterogeneous","communication",15
"incentives","communication",85
"individual differences","communication",12
"information","communication",34
"interdependence","communication",6
"intergroup","communication",12
"intuition","communication",0
"knowledge","communication",6
"leadership","communication",23
"learning","communication",3
"moral","communication",2
"motivation","communication",27
"norm","communication",18
"partner type","communication",5
"perception","communication",13
"perspective","communication",16
"power","communication",12
"preference","communication",3
"prisoner's dilemma","communication",32
"promise","communication",9
"psychopathology","communication",3
"public goods dilemma","communication",26
"punishment","communication",42
"reciprocity","communication",15
"reputation","communication",5
"resource dilemma","communication",17
"reward","communication",12
"risk","communication",2
"rule","communication",17
"sequentiality","communication",12
"social value orientation","communication",12
"socio-economic status","communication",6
"strategy","communication",50
"structure","communication",11
"threat","communication",20
"time pressure","communication",5
"trust","communication",14
"uncertainty","communication",3
"compliance","competitive",23
"conflict","competitive",49
"cooperation","competitive",275
"coordination","competitive",11
"culture","competitive",42
"dyad","competitive",26
"efficiency","competitive",36
"emotion","competitive",24
"emotion valence","competitive",20
"endowment","competitive",9
"environmental","competitive",30
"equality","competitive",22
"equilibrium","competitive",9
"evolution","competitive",21
"expectations","competitive",28
"experience","competitive",15
"fairness","competitive",19
"favoritism","competitive",14
"feedback","competitive",16
"framing","competitive",35
"game duration","competitive",36
"gender","competitive",72
"goal","competitive",30
"group","competitive",155
"group identification","competitive",22
"guilt","competitive",9
"harvest","competitive",25
"heterogeneous","competitive",42
"incentives","competitive",180
"individual differences","competitive",29
"information","competitive",40
"interdependence","competitive",14
"intergroup","competitive",39
"intuition","competitive",9
"knowledge","competitive",15
"leadership","competitive",23
"learning","competitive",8
"moral","competitive",12
"motivation","competitive",86
"norm","competitive",31
"partner type","competitive",23
"perception","competitive",28
"perspective","competitive",24
"power","competitive",30
"preference","competitive",23
"prisoner's dilemma","competitive",81
"promise","competitive",7
"psychopathology","competitive",2
"public goods dilemma","competitive",25
"punishment","competitive",64
"reciprocity","competitive",43
"reputation","competitive",8
"resource dilemma","competitive",27
"reward","competitive",25
"risk","competitive",6
"rule","competitive",30
"sequentiality","competitive",19
"social value orientation","competitive",20
"socio-economic status","competitive",9
"strategy","competitive",106
"structure","competitive",24
"threat","competitive",43
"time pressure","competitive",16
"trust","competitive",18
"uncertainty","competitive",6
"conflict","compliance",9
"cooperation","compliance",64
"coordination","compliance",5
"culture","compliance",6
"dyad","compliance",2
"efficiency","compliance",9
"emotion","compliance",3
"emotion valence","compliance",7
"endowment","compliance",1
"environmental","compliance",8
"equality","compliance",6
"equilibrium","compliance",6
"evolution","compliance",5
"expectations","compliance",9
"experience","compliance",3
"fairness","compliance",5
"favoritism","compliance",3
"feedback","compliance",2
"framing","compliance",7
"game duration","compliance",11
"gender","compliance",17
"goal","compliance",2
"group","compliance",27
"group identification","compliance",6
"guilt","compliance",0
"harvest","compliance",10
"heterogeneous","compliance",9
"incentives","compliance",38
"individual differences","compliance",5
"information","compliance",10
"interdependence","compliance",2
"intergroup","compliance",3
"intuition","compliance",3
"knowledge","compliance",5
"leadership","compliance",6
"learning","compliance",1
"moral","compliance",6
"motivation","compliance",22
"norm","compliance",16
"partner type","compliance",5
"perception","compliance",6
"perspective","compliance",7
"power","compliance",8
"preference","compliance",5
"prisoner's dilemma","compliance",16
"promise","compliance",7
"psychopathology","compliance",1
"public goods dilemma","compliance",13
"punishment","compliance",28
"reciprocity","compliance",10
"reputation","compliance",0
"resource dilemma","compliance",6
"reward","compliance",7
"risk","compliance",1
"rule","compliance",11
"sequentiality","compliance",5
"social value orientation","compliance",9
"socio-economic status","compliance",1
"strategy","compliance",26
"structure","compliance",5
"threat","compliance",13
"time pressure","compliance",2
"trust","compliance",3
"uncertainty","compliance",2
"cooperation","conflict",154
"coordination","conflict",2
"culture","conflict",14
"dyad","conflict",11
"efficiency","conflict",30
"emotion","conflict",16
"emotion valence","conflict",12
"endowment","conflict",12
"environmental","conflict",9
"equality","conflict",12
"equilibrium","conflict",6
"evolution","conflict",15
"expectations","conflict",17
"experience","conflict",6
"fairness","conflict",16
"favoritism","conflict",5
"feedback","conflict",6
"framing","conflict",15
"game duration","conflict",18
"gender","conflict",33
"goal","conflict",13
"group","conflict",93
"group identification","conflict",11
"guilt","conflict",7
"harvest","conflict",12
"heterogeneous","conflict",22
"incentives","conflict",111
"individual differences","conflict",13
"information","conflict",17
"interdependence","conflict",9
"intergroup","conflict",32
"intuition","conflict",7
"knowledge","conflict",6
"leadership","conflict",11
"learning","conflict",5
"moral","conflict",8
"motivation","conflict",53
"norm","conflict",26
"partner type","conflict",10
"perception","conflict",14
"perspective","conflict",11
"power","conflict",17
"preference","conflict",12
"prisoner's dilemma","conflict",46
"promise","conflict",7
"psychopathology","conflict",4
"public goods dilemma","conflict",13
"punishment","conflict",60
"reciprocity","conflict",26
"reputation","conflict",2
"resource dilemma","conflict",8
"reward","conflict",16
"risk","conflict",6
"rule","conflict",20
"sequentiality","conflict",10
"social value orientation","conflict",11
"socio-economic status","conflict",5
"strategy","conflict",58
"structure","conflict",22
"threat","conflict",26
"time pressure","conflict",12
"trust","conflict",13
"uncertainty","conflict",4
"coordination","cooperation",55
"culture","cooperation",271
"dyad","cooperation",62
"efficiency","cooperation",223
"emotion","cooperation",116
"emotion valence","cooperation",103
"endowment","cooperation",77
"environmental","cooperation",113
"equality","cooperation",101
"equilibrium","cooperation",94
"evolution","cooperation",87
"expectations","cooperation",147
"experience","cooperation",63
"fairness","cooperation",139
"favoritism","cooperation",54
"feedback","cooperation",51
"framing","cooperation",131
"game duration","cooperation",168
"gender","cooperation",266
"goal","cooperation",82
"group","cooperation",741
"group identification","cooperation",112
"guilt","cooperation",41
"harvest","cooperation",107
"heterogeneous","cooperation",204
"incentives","cooperation",912
"individual differences","cooperation",99
"information","cooperation",246
"interdependence","cooperation",56
"intergroup","cooperation",76
"intuition","cooperation",44
"knowledge","cooperation",65
"leadership","cooperation",132
"learning","cooperation",55
"moral","cooperation",61
"motivation","cooperation",328
"norm","cooperation",188
"partner type","cooperation",121
"perception","cooperation",71
"perspective","cooperation",97
"power","cooperation",114
"preference","cooperation",140
"prisoner's dilemma","cooperation",326
"promise","cooperation",47
"psychopathology","cooperation",28
"public goods dilemma","cooperation",273
"punishment","cooperation",422
"reciprocity","cooperation",181
"reputation","cooperation",55
"resource dilemma","cooperation",106
"reward","cooperation",132
"risk","cooperation",47
"rule","cooperation",128
"sequentiality","cooperation",95
"social value orientation","cooperation",127
"socio-economic status","cooperation",47
"strategy","cooperation",471
"structure","cooperation",116
"threat","cooperation",174
"time pressure","cooperation",55
"trust","cooperation",143
"uncertainty","cooperation",48
"culture","coordination",13
"dyad","coordination",3
"efficiency","coordination",25
"emotion","coordination",6
"emotion valence","coordination",3
"endowment","coordination",3
"environmental","coordination",9
"equality","coordination",10
"equilibrium","coordination",15
"evolution","coordination",5
"expectations","coordination",6
"experience","coordination",4
"fairness","coordination",4
"favoritism","coordination",2
"feedback","coordination",4
"framing","coordination",8
"game duration","coordination",3
"gender","coordination",9
"goal","coordination",2
"group","coordination",42
"group identification","coordination",7
"guilt","coordination",1
"harvest","coordination",8
"heterogeneous","coordination",9
"incentives","coordination",47
"individual differences","coordination",3
"information","coordination",20
"interdependence","coordination",5
"intergroup","coordination",4
"intuition","coordination",1
"knowledge","coordination",6
"leadership","coordination",2
"learning","coordination",0
"moral","coordination",2
"motivation","coordination",12
"norm","coordination",15
"partner type","coordination",2
"perception","coordination",1
"perspective","coordination",5
"power","coordination",5
"preference","coordination",6
"prisoner's dilemma","coordination",17
"promise","coordination",2
"psychopathology","coordination",0
"public goods dilemma","coordination",9
"punishment","coordination",19
"reciprocity","coordination",5
"reputation","coordination",0
"resource dilemma","coordination",8
"reward","coordination",8
"risk","coordination",3
"rule","coordination",11
"sequentiality","coordination",7
"social value orientation","coordination",4
"socio-economic status","coordination",2
"strategy","coordination",25
"structure","coordination",3
"threat","coordination",10
"time pressure","coordination",5
"trust","coordination",5
"uncertainty","coordination",7
"dyad","culture",12
"efficiency","culture",33
"emotion","culture",15
"emotion valence","culture",10
"endowment","culture",11
"environmental","culture",50
"equality","culture",19
"equilibrium","culture",18
"evolution","culture",20
"expectations","culture",31
"experience","culture",18
"fairness","culture",20
"favoritism","culture",16
"feedback","culture",12
"framing","culture",28
"game duration","culture",28
"gender","culture",73
"goal","culture",12
"group","culture",160
"group identification","culture",31
"guilt","culture",4
"harvest","culture",25
"heterogeneous","culture",38
"incentives","culture",163
"individual differences","culture",21
"information","culture",48
"interdependence","culture",14
"intergroup","culture",17
"intuition","culture",9
"knowledge","culture",11
"leadership","culture",25
"learning","culture",5
"moral","culture",12
"motivation","culture",65
"norm","culture",45
"partner type","culture",29
"perception","culture",11
"perspective","culture",25
"power","culture",13
"preference","culture",35
"prisoner's dilemma","culture",48
"promise","culture",3
"psychopathology","culture",5
"public goods dilemma","culture",42
"punishment","culture",72
"reciprocity","culture",40
"reputation","culture",10
"resource dilemma","culture",28
"reward","culture",10
"risk","culture",11
"rule","culture",25
"sequentiality","culture",31
"social value orientation","culture",21
"socio-economic status","culture",13
"strategy","culture",76
"structure","culture",23
"threat","culture",36
"time pressure","culture",14
"trust","culture",43
"uncertainty","culture",9
"efficiency","dyad",5
"emotion","dyad",7
"emotion valence","dyad",2
"endowment","dyad",2
"environmental","dyad",3
"equality","dyad",3
"equilibrium","dyad",1
"evolution","dyad",2
"expectations","dyad",6
"experience","dyad",4
"fairness","dyad",2
"favoritism","dyad",4
"feedback","dyad",4
"framing","dyad",7
"game duration","dyad",16
"gender","dyad",15
"goal","dyad",10
"group","dyad",30
"group identification","dyad",6
"guilt","dyad",2
"harvest","dyad",2
"heterogeneous","dyad",9
"incentives","dyad",40
"individual differences","dyad",8
"information","dyad",8
"interdependence","dyad",6
"intergroup","dyad",4
"intuition","dyad",1
"knowledge","dyad",3
"leadership","dyad",6
"learning","dyad",0
"moral","dyad",6
"motivation","dyad",21
"norm","dyad",5
"partner type","dyad",7
"perception","dyad",5
"perspective","dyad",9
"power","dyad",7
"preference","dyad",2
"prisoner's dilemma","dyad",19
"promise","dyad",5
"psychopathology","dyad",2
"public goods dilemma","dyad",3
"punishment","dyad",11
"reciprocity","dyad",7
"reputation","dyad",2
"resource dilemma","dyad",0
"reward","dyad",9
"risk","dyad",1
"rule","dyad",3
"sequentiality","dyad",6
"social value orientation","dyad",5
"socio-economic status","dyad",6
"strategy","dyad",20
"structure","dyad",4
"threat","dyad",11
"time pressure","dyad",3
"trust","dyad",9
"uncertainty","dyad",1
"emotion","efficiency",20
"emotion valence","efficiency",24
"endowment","efficiency",12
"environmental","efficiency",13
"equality","efficiency",21
"equilibrium","efficiency",30
"evolution","efficiency",5
"expectations","efficiency",18
"experience","efficiency",7
"fairness","efficiency",29
"favoritism","efficiency",9
"feedback","efficiency",12
"framing","efficiency",18
"game duration","efficiency",21
"gender","efficiency",39
"goal","efficiency",16
"group","efficiency",138
"group identification","efficiency",13
"guilt","efficiency",5
"harvest","efficiency",20
"heterogeneous","efficiency",43
"incentives","efficiency",160
"individual differences","efficiency",14
"information","efficiency",52
"interdependence","efficiency",6
"intergroup","efficiency",9
"intuition","efficiency",3
"knowledge","efficiency",9
"leadership","efficiency",24
"learning","efficiency",6
"moral","efficiency",6
"motivation","efficiency",48
"norm","efficiency",33
"partner type","efficiency",20
"perception","efficiency",9
"perspective","efficiency",17
"power","efficiency",22
"preference","efficiency",27
"prisoner's dilemma","efficiency",38
"promise","efficiency",6
"psychopathology","efficiency",7
"public goods dilemma","efficiency",60
"punishment","efficiency",89
"reciprocity","efficiency",31
"reputation","efficiency",9
"resource dilemma","efficiency",13
"reward","efficiency",18
"risk","efficiency",7
"rule","efficiency",30
"sequentiality","efficiency",8
"social value orientation","efficiency",20
"socio-economic status","efficiency",4
"strategy","efficiency",72
"structure","efficiency",15
"threat","efficiency",28
"time pressure","efficiency",9
"trust","efficiency",17
"uncertainty","efficiency",6
"emotion valence","emotion",21
"endowment","emotion",9
"environmental","emotion",9
"equality","emotion",7
"equilibrium","emotion",5
"evolution","emotion",9
"expectations","emotion",9
"experience","emotion",2
"fairness","emotion",21
"favoritism","emotion",2
"feedback","emotion",8
"framing","emotion",14
"game duration","emotion",15
"gender","emotion",22
"goal","emotion",6
"group","emotion",57
"group identification","emotion",8
"guilt","emotion",10
"harvest","emotion",2
"heterogeneous","emotion",16
"incentives","emotion",79
"individual differences","emotion",17
"information","emotion",25
"interdependence","emotion",5
"intergroup","emotion",6
"intuition","emotion",7
"knowledge","emotion",11
"leadership","emotion",15
"learning","emotion",6
"moral","emotion",10
"motivation","emotion",38
"norm","emotion",12
"partner type","emotion",12
"perception","emotion",7
"perspective","emotion",16
"power","emotion",7
"preference","emotion",16
"prisoner's dilemma","emotion",23
"promise","emotion",6
"psychopathology","emotion",6
